transaction_id,amount,currency,timestamp,merchant,location,payment_method,user_id,ip_address,device_info
TXN001,25.50,USD,2024-01-15 10:30:00,Starbucks,New York,credit_card,USER001,192.168.1.100,Chrome/Windows
TXN002,150.00,USD,2024-01-15 11:15:00,Amazon,Online,credit_card,USER002,192.168.1.101,Chrome/Mac
TXN003,25.50,USD,2024-01-15 10:35:00,Starbucks,New York,credit_card,USER001,192.168.1.100,Chrome/Windows
TXN004,5000.00,USD,2024-01-15 14:20:00,Luxury Store,Los Angeles,credit_card,USER003,192.168.1.102,Chrome/Windows
TXN005,75.25,USD,2024-01-15 23:45:00,Gas Station,Chicago,debit_card,USER004,192.168.1.103,Mobile/Safari
TXN006,25.50,USD,2024-01-15 10:40:00,Starbucks,New York,credit_card,USER001,192.168.1.100,Chrome/Windows
TXN007,200.00,USD,2024-01-15 02:30:00,Online Store,Online,credit_card,USER005,192.168.1.104,Chrome/Windows
TXN008,45.00,USD,2024-01-15 12:00:00,Restaurant,Seattle,credit_card,USER006,192.168.1.105,Chrome/Windows
TXN009,25.50,USD,2024-01-15 10:45:00,Starbucks,New York,credit_card,USER001,192.168.1.100,Chrome/Windows
TXN010,1200.00,USD,2024-01-15 15:30:00,Electronics Store,San Francisco,credit_card,USER007,192.168.1.106,Chrome/Windows
TXN011,30.00,USD,2024-01-15 01:15:00,Convenience Store,Boston,debit_card,USER008,192.168.1.107,Mobile/Chrome
TXN012,25.50,USD,2024-01-15 10:50:00,Starbucks,New York,credit_card,USER001,192.168.1.100,Chrome/Windows
TXN013,85.75,USD,2024-01-15 13:45:00,Grocery Store,Denver,credit_card,USER009,192.168.1.108,Chrome/Windows
TXN014,25.50,USD,2024-01-15 10:55:00,Starbucks,New York,credit_card,USER001,192.168.1.100,Chrome/Windows
TXN015,300.00,USD,2024-01-15 16:20:00,Department Store,Miami,credit_card,USER010,192.168.1.109,Chrome/Windows
